,cheveux,age,exp,salaire,sexe,diplome,specialite,note,dispo,embauche
0,roux,25,9,26803,F,licence,geologie,97.08,non,0
1,blond,35,13,38166,M,licence,forage,63.86,non,0
2,blond,29,13,35207,M,licence,geologie,78.5,non,0
3,brun,65,12,32442,M,licence,geologie,45.09,non,0
4,roux,35,6,28533,F,licence,detective,81.91,non,0
5,chatain,37,8,38558,M,master,geologie,63.46,non,1
6,brun,33,12,39476,M,master,geologie,50.2,oui,0
7,roux,31,10,42392,M,licence,forage,62.2,oui,0
8,chatain,43,10,28625,M,doctorat,geologie,65.17,non,1
9,chatain,28,11,32454,M,master,forage,66.93,non,1
10,brun,50,12,38516,F,licence,geologie,58.93,non,0
11,blond,43,8,38719,M,master,archeologie,80.07,oui,0
12,brun,44,9,28688,M,doctorat,forage,115.76,oui,0
13,brun,39,4,30822,F,licence,geologie,66.85,non,0
14,roux,23,14,33882,M,licence,geologie,61.46,non,0
15,brun,38,3,40889,M,master,geologie,62.85,oui,0
16,brun,31,10,28507,M,doctorat,forage,104.26,oui,0
17,blond,37,13,41512,M,bac,geologie,55.91,non,0
18,blond,35,14,30359,M,licence,geologie,94.58,non,0
19,chatain,44,8,28956,M,master,geologie,74.82,non,0
20,brun,31,12,34483,M,master,forage,66.27,oui,0
21,chatain,30,10,39069,F,licence,forage,65.19,non,0
22,brun,39,13,34632,M,master,geologie,81.35,non,0
23,brun,31,8,41582,M,licence,geologie,58.94,non,0
24,blond,35,8,30782,F,licence,geologie,90.31,non,0
25,chatain,31,12,33238,F,master,detective,70.39,non,0
26,brun,33,8,26803,F,licence,detective,56.99,non,0
27,brun,42,8,30641,F,licence,geologie,78.89,non,0
28,chatain,27,13,31505,F,master,archeologie,88.33,non,0
29,chatain,19,9,31357,M,doctorat,detective,88.69,oui,0
30,brun,19,4,39031,M,master,geologie,57.48,oui,0
31,chatain,40,13,37495,M,doctorat,geologie,80.86,oui,0
32,chatain,43,7,37579,M,doctorat,geologie,91.15,oui,0
33,blond,28,13,34485,F,licence,forage,76.94,non,0
34,blond,38,6,41909,M,licence,geologie,87.76,oui,1
35,chatain,43,8,46245,M,licence,geologie,49.39,non,0
36,brun,49,8,38020,M,master,forage,60.63,oui,0
37,brun,26,11,31759,F,master,forage,102.66,non,1
38,blond,59,7,40397,M,licence,forage,60.42,oui,0
39,chatain,37,6,27002,M,master,forage,55.83,non,1
40,brun,41,8,34359,F,bac,geologie,56.41,non,0
41,blond,34,15,36295,M,licence,geologie,81.06,oui,0
